Country,workout_2018_2023,home_workout_2018_2023,gym_workout_2018_2023,home_gym_2018_2023,workout_worldwide,home_workout_worldwide,gym_workout_worldwide,home_gym_worldwide,year
Austria,23.0,47.0,30.0,23.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Switzerland,23.0,52.0,26.0,22.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Monaco,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Belgium,23.0,50.0,24.0,26.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Greece,22.0,50.0,30.0,20.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Montenegro,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Hong Kong,22.0,43.0,35.0,22.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Uganda,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Georgia,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Serbia,20.0,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Lithuania,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Latvia,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Nigeria,20.0,56.0,31.0,13.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
South Sudan,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Liechtenstein,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Germany,20.0,51.0,25.0,24.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Bosnia & Herzegovina,27.9672131147541,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
Slovakia,19.0,40.787234042553195,34.212765957446805,25.0,56.721311475409834,16.42622950819672,16.18032786885246,13.655737704918034,2023
