Series Name,Series Code,Country Name,Country Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Lao PDR,LAO,396.982,389.723,378.945,374.209,368.885,363.043,356.971,354.802,351.558,349.486,346.425,335.405,332.22,328.955,328.23,322.621,318.715,318.703,317.258,314.761,310.79,303.85,300.798,300.196,302.436,294.408,289.918,282.462,272.688,266.781,257.345,239.695,234.362,229.475,224.069,219.611,215.175,210.499,207.05,202.966,194.231,201.753,197.446,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Latvia,LVA,318.95,326.567,310.16,317.007,315.81,300.653,261.735,262.386,269.21,291.353,309.934,326.508,354.489,417.217,469.729,439.516,362.426,338.96,353.204,338.192,329.836,339.775,332.094,313.476,309.232,325.304,335.496,323.614,290.728,268.979,263.085,247.424,243.192,242.15,241.36,234.554,229.587,228.584,229.116,210.61,..,..,..,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Lebanon,LBN,386.023,385.342,689.366,471.091,468.673,466.833,459.787,368.971,363.082,417.215,410.451,157.452,158.626,160.296,155.906,145.953,145.236,143.157,141.039,132.251,127.526,124.073,119.483,110.82,108.439,105.553,131.043,100.956,92.468,89.171,86.271,83.831,81.676,81.237,79.804,77.379,75.598,76.06,72.251,77.491,89.717,125.642,132.863,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Lesotho,LSO,426.713,416.503,407.817,403.764,398.417,393.775,393.153,399.947,402.293,404.576,410.435,412.26,433.76,443.477,436.254,462.126,492.519,526.815,566.706,600.707,636.149,670.047,700.356,724.949,746.713,756.004,767.861,768.473,758.65,752.694,735.933,711.226,684.938,655.398,623.903,593.377,568.273,546.7,529.304,516.418,504.362,552.668,549.165,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Liberia,LBR,414.272,407.315,404.375,401.22,400.84,420.707,402.244,406.519,413.458,421.565,725.361,436.026,459.792,467.404,491.127,442.469,446.823,369.431,363.748,365.818,344.015,330.137,326.829,376.143,315.56,311.6,305.816,302.038,300.427,299.307,297.126,299.333,297.508,300.145,313.212,319.026,298.583,300.275,300.998,295.617,303.559,308.72,301.95,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Libya,LBY,231.551,227.735,225.618,216.535,208.613,205.611,197.503,195.296,187.683,185.962,178.342,175.393,166.97,165.433,164.316,155.955,153.572,158.678,163.929,163.764,175.326,175.193,175.727,174.135,170.036,171.282,172.375,172.864,171.573,172.171,175.3,241.154,188.493,185.37,223.09,218.903,220.441,198.959,193.049,203.905,189.773,190.653,191.749,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Lithuania,LTU,293.607,292.531,291.409,292.402,301.707,286.043,247.22,255.974,255.817,276.588,287.642,309.779,316.975,361.318,380.859,372.327,340.571,314.156,306.281,296.759,292.937,311.081,304.387,304.451,307.592,331.463,342.046,355.587,326.457,286.844,284.275,272.305,266.341,265.849,250.161,245.418,242.472,212.885,206.93,200.925,223.683,..,..,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Luxembourg,LUX,180.124,190.697,204.352,169.732,196.499,175.534,174.454,179.132,171.018,163.423,152.45,167.199,156.659,148.17,150.464,153.442,141.555,129.733,141.474,124.081,127.293,117.736,128.774,121.98,115.72,103.673,112.351,100.688,88.089,92.15,94.074,83.693,89.532,80.788,79.192,72.385,73.837,66.343,67.274,66.112,68.632,65.229,63.347,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,"Macao SAR, China",MAC,137.452,133.273,129.459,126.093,122.235,118.332,114.459,110.809,106.792,102.91,99.069,95.695,93.083,90.566,88.011,85.756,82.543,80.648,80.811,79.265,74.429,74.59,74.366,72.804,71.707,68.988,68.99,67.674,65.599,62.74,65.201,64.519,63.634,61.559,59.338,58.024,56.208,52.729,50.297,49.986,48.424,46.731,48.489,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Madagascar,MDG,381.595,380.9,380.613,380.629,380.741,380.495,379.687,377.902,375.739,371.325,366.883,360.294,353.091,342.823,339.356,337.742,334.81,322.957,314.308,307.586,300.028,292.661,293.35,288.899,286.432,282.37,274.828,274.812,270.313,265.372,266.705,262.061,263.928,264.351,259.267,258.218,251.055,251.676,250.993,245.413,256.518,270.716,261.605,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Malawi,MWI,387.707,386.843,389.47,388.501,392.075,400.916,412.009,425.966,445.846,458.902,473.802,493.653,510.564,530.1,542.11,555.528,567.422,583.905,603.88,593.222,583.218,570.035,558.529,542.796,521.423,501.302,483.72,472.482,460.522,451.467,441.805,435.591,422.928,417.766,414.236,408.396,400.549,393.318,392.518,378.171,384.223,395.225,393.686,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Malaysia,MYS,216.174,209.448,204.587,201.372,197.548,192.247,192.812,191.064,189.119,187.112,185.218,184.893,186.613,182.881,179.71,178.214,180.217,182.77,186.163,186.307,180.519,174.041,172.247,171.484,170.915,168.842,167.984,168.045,168.806,171.961,169.988,166.613,163.181,161.236,159.003,160.29,157.353,154.334,150.914,147.706,144.397,149.207,144.508,..
